sepal_length,sepal_width,petal_length,petal_width,species,sepal_area,petal_area
0.22222222222222213,0.6249999999999999,0.06779661016949151,0.04166666666666667,setosa,17.849999999999998,0.27999999999999997
0.1666666666666668,0.41666666666666663,0.06779661016949151,0.04166666666666667,setosa,14.700000000000001,0.27999999999999997
0.11111111111111119,0.5,0.05084745762711865,0.04166666666666667,setosa,15.040000000000001,0.26
0.08333333333333327,0.4583333333333333,0.0847457627118644,0.04166666666666667,setosa,14.26,0.30000000000000004
0.19444444444444448,0.6666666666666666,0.06779661016949151,0.04166666666666667,setosa,18.0,0.27999999999999997
0.30555555555555564,0.7916666666666665,0.11864406779661016,0.12500000000000003,setosa,21.060000000000002,0.68
0.08333333333333327,0.5833333333333333,0.06779661016949151,0.08333333333333333,setosa,15.639999999999999,0.42
0.19444444444444448,0.5833333333333333,0.0847457627118644,0.04166666666666667,setosa,17.0,0.30000000000000004
0.027777777777777922,0.3749999999999999,0.06779661016949151,0.04166666666666667,setosa,12.76,0.27999999999999997
0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,setosa,15.190000000000001,0.15000000000000002
0.30555555555555564,0.7083333333333333,0.0847457627118644,0.04166666666666667,setosa,19.980000000000004,0.30000000000000004
0.13888888888888887,0.5833333333333333,0.1016949152542373,0.04166666666666667,setosa,16.32,0.32000000000000006
0.13888888888888887,0.41666666666666663,0.06779661016949151,0.0,setosa,14.399999999999999,0.13999999999999999
0.0,0.41666666666666663,0.016949152542372895,0.0,setosa,12.899999999999999,0.11000000000000001
0.41666666666666663,0.8333333333333333,0.033898305084745756,0.04166666666666667,setosa,23.2,0.24
0.38888888888888895,1.0,0.0847457627118644,0.12500000000000003,setosa,25.080000000000002,0.6000000000000001
0.30555555555555564,0.7916666666666665,0.05084745762711865,0.12500000000000003,setosa,21.060000000000002,0.52
0.22222222222222213,0.6249999999999999,0.06779661016949151,0.08333333333333333,setosa,17.849999999999998,0.42
0.38888888888888895,0.7499999999999998,0.11864406779661016,0.08333333333333333,setosa,21.66,0.51
0.22222222222222213,0.7499999999999998,0.0847457627118644,0.08333333333333333,setosa,19.38,0.44999999999999996
0.30555555555555564,0.5833333333333333,0.11864406779661016,0.04166666666666667,setosa,18.36,0.34
0.22222222222222213,0.7083333333333333,0.0847457627118644,0.12500000000000003,setosa,18.87,0.6000000000000001
0.08333333333333327,0.6666666666666666,0.0,0.04166666666666667,setosa,16.56,0.2
